sep=|
algoritmo|api|cenario|tamanho|iteracao|tempo_s|corretude|threads_blocos
bitonic_sort|cudadp|aleatorio|4096|8|0,003881|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4096|9|0,004016|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4096|10|0,003880|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16384|1|0,004046|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16384|2|0,004031|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16384|3|0,004018|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16384|4|0,004020|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16384|5|0,004027|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16384|6|0,004009|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16384|7|0,004005|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16384|8|0,004006|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16384|9|0,004003|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16384|10|0,004000|1|1x1_dp
bitonic_sort|cudadp|aleatorio|65536|1|0,006069|1|1x1_dp
bitonic_sort|cudadp|aleatorio|65536|2|0,006242|1|1x1_dp
bitonic_sort|cudadp|aleatorio|65536|3|0,006229|1|1x1_dp
bitonic_sort|cudadp|aleatorio|65536|4|0,006220|1|1x1_dp
bitonic_sort|cudadp|aleatorio|65536|5|0,006227|1|1x1_dp
bitonic_sort|cudadp|aleatorio|65536|6|0,006217|1|1x1_dp
bitonic_sort|cudadp|aleatorio|65536|7|0,006237|1|1x1_dp
bitonic_sort|cudadp|aleatorio|65536|8|0,006213|1|1x1_dp
bitonic_sort|cudadp|aleatorio|65536|9|0,006274|1|1x1_dp
bitonic_sort|cudadp|aleatorio|65536|10|0,006226|1|1x1_dp
bitonic_sort|cudadp|aleatorio|262144|1|0,004753|1|1x1_dp
bitonic_sort|cudadp|aleatorio|262144|2|0,004449|1|1x1_dp
bitonic_sort|cudadp|aleatorio|262144|3|0,004627|1|1x1_dp
bitonic_sort|cudadp|aleatorio|262144|4|0,004464|1|1x1_dp
bitonic_sort|cudadp|aleatorio|262144|5|0,004449|1|1x1_dp
bitonic_sort|cudadp|aleatorio|262144|6|0,004439|1|1x1_dp
bitonic_sort|cudadp|aleatorio|262144|7|0,004652|1|1x1_dp
bitonic_sort|cudadp|aleatorio|262144|8|0,004444|1|1x1_dp
bitonic_sort|cudadp|aleatorio|262144|9|0,004449|1|1x1_dp
bitonic_sort|cudadp|aleatorio|262144|10|0,004447|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1048576|1|0,004578|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1048576|2|0,004594|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1048576|3|0,004577|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1048576|4|0,004585|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1048576|5|0,004672|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1048576|6|0,004557|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1048576|7|0,004551|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1048576|8|0,004535|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1048576|9|0,004516|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1048576|10|0,004506|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4194304|1|0,009225|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4194304|2|0,008838|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4194304|3|0,008804|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4194304|4|0,008699|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4194304|5|0,008626|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4194304|6|0,008610|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4194304|7|0,008576|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4194304|8|0,008559|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4194304|9|0,008502|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4194304|10|0,008408|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16777216|1|0,030141|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16777216|2|0,029232|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16777216|3|0,027877|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16777216|4|0,046854|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16777216|5|0,043718|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16777216|6|0,043993|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16777216|7|0,043040|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16777216|8|0,043148|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16777216|9|0,044720|1|1x1_dp
bitonic_sort|cudadp|aleatorio|16777216|10|0,042530|1|1x1_dp
bitonic_sort|cudadp|aleatorio|67108864|1|0,555393|1|1x1_dp
bitonic_sort|cudadp|aleatorio|67108864|2|0,533584|1|1x1_dp
bitonic_sort|cudadp|aleatorio|67108864|3|0,506404|1|1x1_dp
bitonic_sort|cudadp|aleatorio|67108864|4|0,478896|1|1x1_dp
bitonic_sort|cudadp|aleatorio|67108864|5|0,444486|1|1x1_dp
bitonic_sort|cudadp|aleatorio|67108864|6|0,483939|1|1x1_dp
bitonic_sort|cudadp|aleatorio|67108864|7|0,580903|1|1x1_dp
bitonic_sort|cudadp|aleatorio|67108864|8|0,556170|1|1x1_dp
bitonic_sort|cudadp|aleatorio|67108864|9|0,534065|1|1x1_dp
bitonic_sort|cudadp|aleatorio|67108864|10|0,504828|1|1x1_dp
merge_sort|cpu|aleatorio|1024|1|0,000025|1|1x1
merge_sort|cpu|aleatorio|1024|2|0,000022|1|1x1
merge_sort|cpu|aleatorio|1024|3|0,000020|1|1x1
merge_sort|cpu|aleatorio|1024|4|0,000020|1|1x1
merge_sort|cpu|aleatorio|1024|5|0,000019|1|1x1
merge_sort|cpu|aleatorio|1024|6|0,000019|1|1x1
merge_sort|cpu|aleatorio|1024|7|0,000018|1|1x1
merge_sort|cpu|aleatorio|1024|8|0,000018|1|1x1
merge_sort|cpu|aleatorio|1024|9|0,000018|1|1x1
merge_sort|cpu|aleatorio|1024|10|0,000018|1|1x1
merge_sort|cpu|aleatorio|4096|1|0,000174|1|1x1
merge_sort|cpu|aleatorio|4096|2|0,000171|1|1x1
