algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
sssp|openmp|rtx4090|10000x30000|5|0,616086|92,3266|90,12|OK
sssp|openmp|rtx4090|10000x30000|6|0,623936|97,2092|90,1|OK
sssp|openmp|rtx4090|10000x30000|7|0,576991|86,0755|84,18|OK
sssp|openmp|rtx4090|10000x30000|8|0,624541|96,1981|91,96|OK
sssp|openmp|rtx4090|10000x30000|9|0,604485|90,5519|88,18|OK
sssp|openmp|rtx4090|10000x30000|10|0,637794|96,9766|92,79|OK
sssp|openmp|rtx4090|1000x4000|1|0,346136|43,5474|43,07|OK
sssp|openmp|rtx4090|1000x4000|2|0,3604|55,3574|44,71|OK
sssp|openmp|rtx4090|1000x4000|3|0,359761|55,4392|44,5|OK
sssp|openmp|rtx4090|1000x4000|4|0,382316|59,0908|47,22|OK
sssp|openmp|rtx4090|1000x4000|5|0,358775|55,1939|43,7|OK
sssp|openmp|rtx4090|1000x4000|6|0,342006|50,7913|43,5|OK
sssp|openmp|rtx4090|1000x4000|7|0,348569|54,0352|43,41|OK
sssp|openmp|rtx4090|1000x4000|8|0,343921|53,2183|42,34|OK
sssp|openmp|rtx4090|1000x4000|9|0,358439|55,4649|43,08|OK
sssp|openmp|rtx4090|1000x4000|10|0,375082|57,9839|46,35|OK
sssp|openmp|rtx4090|200000x400000|1|4,676029|666,8766|725,87|OK
sssp|openmp|rtx4090|200000x400000|2|5,151614|746,5204|804,08|OK
sssp|openmp|rtx4090|200000x400000|3|5,019751|726,8767|782,24|OK
sssp|openmp|rtx4090|200000x400000|4|4,54952|659,6258|704,75|OK
sssp|openmp|rtx4090|200000x400000|5|4,753706|688,1465|737,47|OK
sssp|openmp|rtx4090|200000x400000|6|4,932294|705,1405|762,61|OK
sssp|openmp|rtx4090|200000x400000|7|4,830267|678,5656|748,3|OK
sssp|openmp|rtx4090|200000x400000|8|5,339015|757,099|826,62|OK
sssp|openmp|rtx4090|200000x400000|9|4,751254|685,7485|736,2|OK
sssp|openmp|rtx4090|200000x400000|10|0,277155|38,8405|30,16|OK
